fornecedor_nome;fornecedor_cnpj;produto_codigo;produto_descricao;unidade;quantidade;preco_unitario;prazo_entrega;validade_cotacao;observacao
Tech Supply Ltda;12.345.678/0001-90;PROD001;Notebook Dell Latitude 5420;UN;5;2757.01;7;30;Cotação 03/2026
Tech Supply Ltda;12.345.678/0001-90;PROD002;Monitor LG 24" Full HD;UN;3;1236.82;5;30;Cotação 03/2026
Tech Supply Ltda;12.345.678/0001-90;PROD003;Teclado Mecânico Logitech;UN;8;2555.34;3;30;Cotação 03/2026
Tech Supply Ltda;12.345.678/0001-90;PROD004;Mouse Sem Fio Microsoft;UN;2;1238.45;10;30;Cotação 03/2026
Tech Supply Ltda;12.345.678/0001-90;PROD005;Cabo HDMI 2.0 2m;UN;10;3811.38;12;30;Cotação 03/2026
Tech Supply Ltda;12.345.678/0001-90;PROD006;SSD Kingston 480GB;UN;6;4875.24;8;30;Cotação 03/2026
Tech Supply Ltda;12.345.678/0001-90;PROD007;Memória RAM 16GB DDR4;UN;4;437.65;15;30;Cotação 03/2026
Tech Supply Ltda;12.345.678/0001-90;PROD008;Webcam Logitech C920;UN;7;1916.38;3;30;Cotação 03/2026
InfoMax Comércio;23.456.789/0001-01;PROD001;Notebook Dell Latitude 5420;UN;5;2643.29;10;30;Cotação 03/2026
InfoMax Comércio;23.456.789/0001-01;PROD002;Monitor LG 24" Full HD;UN;3;1376.43;7;30;Cotação 03/2026
InfoMax Comércio;23.456.789/0001-01;PROD003;Teclado Mecânico Logitech;UN;8;2356.46;5;30;Cotação 03/2026
InfoMax Comércio;23.456.789/0001-01;PROD004;Mouse Sem Fio Microsoft;UN;2;1303.05;12;30;Cotação 03/2026
InfoMax Comércio;23.456.789/0001-01;PROD005;Cabo HDMI 2.0 2m;UN;10;3600.62;8;30;Cotação 03/2026
InfoMax Comércio;23.456.789/0001-01;PROD006;SSD Kingston 480GB;UN;6;4724.42;10;30;Cotação 03/2026
InfoMax Comércio;23.456.789/0001-01;PROD007;Memória RAM 16GB DDR4;UN;4;456.28;7;30;Cotação 03/2026
InfoMax Comércio;23.456.789/0001-01;PROD008;Webcam Logitech C920;UN;7;1795.03;5;30;Cotação 03/2026
Digital Solutions;34.567.890/0001-12;PROD001;Notebook Dell Latitude 5420;UN;5;3014.99;5;30;Cotação 03/2026
Digital Solutions;34.567.890/0001-12;PROD002;Monitor LG 24" Full HD;UN;3;1155.22;3;30;Cotação 03/2026
Digital Solutions;34.567.890/0001-12;PROD003;Teclado Mecânico Logitech;UN;8;2194.77;7;30;Cotação 03/2026
Digital Solutions;34.567.890/0001-12;PROD004;Mouse Sem Fio Microsoft;UN;2;1277.25;8;30;Cotação 03/2026
Digital Solutions;34.567.890/0001-12;PROD005;Cabo HDMI 2.0 2m;UN;10;3895.91;15;30;Cotação 03/2026
Digital Solutions;34.567.890/0001-12;PROD006;SSD Kingston 480GB;UN;6;5082.62;5;30;Cotação 03/2026
Digital Solutions;34.567.890/0001-12;PROD007;Memória RAM 16GB DDR4;UN;4;420.15;3;30;Cotação 03/2026
Digital Solutions;34.567.890/0001-12;PROD008;Webcam Logitech C920;UN;7;2033.63;12;30;Cotação 03/2026